FORMULARY_ID,FORMULARY_VERSION,CONTRACT_YEAR,RXCUI,NDC,TIER_LEVEL_VALUE,QUANTITY_LIMIT_YN,QUANTITY_LIMIT_AMOUNT,QUANTITY_LIMIT_DAYS,PRIOR_AUTHORIZATION_YN,STEP_THERAPY_YN,SELECTED_DRUG_YN
00026356,11,2026,854238,00548560300,2,Y,36,30,N,N,N
00026356,11,2026,854241,00548560400,2,Y,48,30,N,N,N
00026356,11,2026,854248,00548560500,2,Y,60,30,N,N,N
00026356,11,2026,854245,00548560600,2,Y,48,30,N,N,N
00026356,11,2026,310497,00548585000,3,N, , ,N,N,N
00026356,11,2026,2180671,00548835101,3,N, , ,N,N,N
00026356,11,2026,905369,00555003302,2,Y,120,30,N,N,N
00026356,11,2026,905516,00555015802,2,Y,120,30,N,N,N
00026356,11,2026,905495,00555015902,2,Y,120,30,N,N,N
00026356,11,2026,835913,00555017178,2,N, , ,N,N,N
00026356,11,2026,995232,00555032402,2,N, , ,N,N,N
00026356,11,2026,977883,00555048302,2,N, , ,N,N,N
00026356,11,2026,197556,00555063302,2,N, , ,N,N,N
00026356,11,2026,197554,00555063402,2,N, , ,N,N,N
00026356,11,2026,197555,00555063502,2,N, , ,N,N,N
00026356,11,2026,1009145,00555077502,2,Y,60,30,N,N,N
00026356,11,2026,687043,00555077602,2,Y,60,30,N,N,N
00026356,11,2026,577957,00555077702,2,Y,60,30,N,N,N
00026356,11,2026,1000114,00555077902,1,N, , ,N,N,N
00026356,11,2026,1000135,00555087202,1,N, , ,N,N,N
00026356,11,2026,1000141,00555087302,1,N, , ,N,N,N
00026356,11,2026,197658,00555088602,1,N, , ,N,N,N
00026356,11,2026,197659,00555088702,1,N, , ,N,N,N
00026356,11,2026,197657,00555089902,1,N, , ,N,N,N
00026356,11,2026,541878,00555097102,2,Y,60,30,N,N,N
00026356,11,2026,541892,00555097202,2,Y,60,30,N,N,N
00026356,11,2026,577961,00555097302,2,Y,60,30,N,N,N
00026356,11,2026,541363,00555097402,2,Y,60,30,N,N,N
00026356,11,2026,751871,00555900942,2,N, , ,N,N,N
00026356,11,2026,751870,00555901058,2,N, , ,N,N,N
00026356,11,2026,762007,00555901258,2,N, , ,N,N,N
00026356,11,2026,751885,00555901467,2,N, , ,N,N,N
00026356,11,2026,753481,00555901658,2,N, , ,N,N,N
00026356,11,2026,762333,00555901858,2,N, , ,N,N,N
00026356,11,2026,751890,00555902058,2,N, , ,N,N,N
00026356,11,2026,1358780,00555902542,2,N, , ,N,N,N
00026356,11,2026,1358765,00555902658,2,N, , ,N,N,N
00026356,11,2026,1359030,00555902742,2,N, , ,N,N,N
00026356,11,2026,1359025,00555902858,2,N, , ,N,N,N
00026356,11,2026,1359135,00555903270,2,N, , ,N,N,N
00026356,11,2026,753482,00555904358,2,N, , ,N,N,N
00026356,11,2026,750268,00555904558,2,N, , ,N,N,N
00026356,11,2026,762001,00555905058,2,N, , ,N,N,N
00026356,11,2026,753483,00555906458,2,N, , ,N,N,N
00026356,11,2026,197411,00574010603,2,N, , ,N,N,N
00026356,11,2026,309371,00574010770,2,N, , ,N,N,N
00026356,11,2026,977880,00574029201,1,N, , ,N,N,N
00026356,11,2026,582926,00574061105,2,N, , ,N,N,N
00026356,11,2026,261178,00574200802,2,Y,60,30,N,N,N
00026356,11,2026,197877,00574204230,2,Y,30,30,Y,N,N
00026356,11,2026,198300,00574220145,2,N, , ,Y,N,N
00026356,11,2026,106303,00574220545,2,N, , ,Y,N,N
00026356,11,2026,308508,00574402235,2,N, , ,N,N,N
00026356,11,2026,309683,00574403105,2,N, , ,N,N,N
00026356,11,2026,284254,00574722612,2,N, , ,N,N,N
00026356,11,2026,308725,00591283201,5,N, , ,Y,N,N
00026356,11,2026,1596780,00591292102,4,Y,300,30,Y,N,N
00026356,11,2026,1597123,00591321630,4,Y,300,30,Y,N,N
00026356,11,2026,998671,00591350804,2,N, , ,N,N,N
00026356,11,2026,998675,00591350904,2,N, , ,N,N,N
00026356,11,2026,998679,00591351004,2,N, , ,N,N,N
00026356,11,2026,1801289,00591354360,2,N, , ,N,N,N
00026356,11,2026,199521,00591385101,5,Y,180,30,Y,N,N
00026356,11,2026,1245262,00591439096,5,Y,112,28,Y,N,N
00026356,11,2026,312615,00591544305,1,N, , ,Y,N,N
00026356,11,2026,197365,00591571301,2,N, , ,N,N,N
00026356,11,2026,197366,00591571401,2,N, , ,N,N,N
00026356,11,2026,197363,00591571501,2,N, , ,N,N,N
00026356,11,2026,197364,00591571630,2,N, , ,N,N,N
00026356,11,2026,603378,00597000302,5,N, , ,N,N,N
00026356,11,2026,1190225,00597002402,3,Y,8,30,N,N,N
00026356,11,2026,836368,00597008717,4,Y,25.8,28,N,N,N
00026356,11,2026,1552004,00597010061,3,Y,4,30,N,N,N
00026356,11,2026,1430453,00597013730,5,Y,30,30,Y,N,N
00026356,11,2026,1430457,00597013830,5,Y,30,30,Y,N,N
00026356,11,2026,1100706,00597014030,3,Y,30,30,N,N,N
00026356,11,2026,1430449,00597014130,5,Y,30,30,Y,N,N
00026356,11,2026,1592748,00597014360,5,Y,60,30,Y,N,N
00026356,11,2026,1592752,00597014560,5,Y,60,30,Y,N,N
00026356,11,2026,1243033,00597014660,3,Y,60,30,N,N,N
00026356,11,2026,1243026,00597014860,3,Y,60,30,N,N,N
00026356,11,2026,1545664,00597015230,3,Y,30,30,N,N,Y
00026356,11,2026,1545668,00597015330,3,Y,30,30,N,N,Y
